movieId,title,genres,year,cast,director,producer,screenwriter,composer,editor,distributor,country
6849,Scrooge,Drama|Fantasy|Musical,1970,Jon Heder,George Wynn,Leslie Bricusse,Leslie Bricusse,Leslie Bricusse,Clive Donner,Netflix,United Kingdom
6852,In Cold Blood,Crime|Drama,1967,Paul Hough,Richard Brooks,Richard Brooks,Richard Brooks,Quincy Jones,Peter Zinner,Netflix,United States of America
6856,Yankee Doodle Dandy,Drama|Musical,1942,Joyce Reynolds,Michael Curtiz,Hal B. Wallis,Robert Buckner,Ray Heindorf,George Amy,Warner Bros.,United States of America
6860,Mobsters,Crime|Drama,1991,Mark DeCarlo,Larry Blamire,Jim Ballantine,Nicholas Kazan,Michael Small,Joe Augustine,Halestorm Entertainment,United States of America
6862,Out of Time,Crime|Drama|Thriller,2003,Sean Dominic,Chris Stokes,Johnnie To,Yau Nai-Hoi,Gerald Schuller,Law Wing-cheung,MTI Home Video,United States of America
6863,School of Rock,Comedy|Musical,2003,Kimberly Grigsby,Richard Linklater,Scott Aversano,Mike White,Jack Black,Sandra Adair,Netflix,United States of America
6870,Mystic River,Crime|Drama|Mystery,2003,Kevin Bacon,Clint Eastwood,Judie Hoyt,Brian Helgeland,Clint Eastwood,Joel Cox,Warner Bros.,Australia
6873,Intolerable Cruelty,Comedy|Romance,2003,Paul Adelstein,Joel Coen,Brian Grazer,Joel Coen,Carter Burwell,Coen brothers,UIP-Dunafilm,United States of America
6879,Runaway Jury,Drama|Thriller,2003,Peter Jurasik,Gary Fleder,Gary Fleder,Brian Koppelman,Christopher Young,William Steinkamp,Netflix,United States of America
6881,Pieces of April,Comedy|Drama,2003,Adrian Martinez,Peter Hedges,Gary Winick,Peter Hedges,Stephin Merritt,Mark Livolsi,Vudu,United States of America
6883,Sylvia,Drama|Romance,2003,Udoka Oyeka,Daniel Oriahi,Maxwell Karger,Sydney Boehm,Leonard Rosenman,Frank Bracht,Metro-Goldwyn-Mayer,Nigeria
6884,Veronica Guerin,Crime|Drama|Thriller,2003,Philip O'Sullivan,Joel Schumacher,Jerry Bruckheimer,Mary Agnes Donoghue,Harry Gregson-Williams,David Gamble,Walt Disney Studios Motion Pictures,United Kingdom
6886,Beyond Borders,Drama|Romance|War,2003,Mohanlal,Major Ravi,Dan Halsted,Major Ravi,James Horner,Paula Heredia,Netflix,India
6887,Radio,Drama,2003,Beanie Feldstein,Anonno Mamun,Christian Becker,Firouzeh Khosrovani,Peyman Yazdanian,Anneliese Hinze-Sokolowa,Netflix,France
6888,Scary Movie 3,Comedy|Horror,2003,Timothy Stack,David Zucker,David Zucker,Marlon Wayans,James L. Venable,Jon Poll,Dimension Films,United States of America
6890,Elephant,Drama,2003,Louis Minnaar,Louise Hogarth,Roy Conli,Richard Boddington,Sven Faulconer,Ana de Mier y,Netflix,United States of America
6894,Impulse,Mystery|Sci-Fi|Thriller,1984,Gertrude Robinson,Saul Swimmer,Adolph Zukor,Eve Unsell,Paul Chihara,David Holden,Paramount Pictures,United States of America
6895,Normal,Drama,2003,Andrew E.,Al Tantay,Teniola Olatoni,Jung Bum-shik,Luthea Salom,Elisa Cantelli,Letterboxd,South Korea
6896,Shoah,Documentary|War,1985,Marino,Catherine,Christine Falco,Catherine,Ramachandra Borcar,Annie Jean,Films du 3 Mars,Canada
6898,Sweet Sixteen,Drama,2002,Josef Moosholzer,Alexa-Jeanne,Karl Spiehs,Joseph W. Sarno,Gerhard Heinz,Jonathan Morris,h264,Canada
6900,Black Sunday,Action|Drama|Thriller,1977,Walter Brooke,John Frankenheimer,Robert Evans,Kenneth Ross,John Williams,Tom Rolf,Paramount Pictures,United States of America
6903,Lipstick,Drama,1976,Vaibhav Tatwawadi,Mike Bonifer,Prakash Jha,Alankrita Shrivastava,Zebunnisa Bangash,Marion Rothman,ALTBalaji,United States of America
6907,Holy Matrimony,Comedy|Crime,1994,Mary Pat Gleason,Leonard Nimoy,Nunnally Johnson,David Weisberg,Bruce Broughton,Peter E. Berger,Walt Disney Studios Motion Pictures,United States of America
6913,Frankenstein and the Monster from Hell,Horror,1974,Philip Voss,Terence Fisher,Roy Skeggs,Anthony Hinds,James Bernard,James Needs,Netflix,United Kingdom
6917,Promised Land,Drama,1987,Rolland,Yael Reuveny,Forest,Yael Reuveny,Alfi Kabiljo,Assaf Lapid,Sut Jhally,Germany
6924,Sherlock Holmes Faces Death,Crime|Mystery,1943,Charles Pearce Coleman,Roy William Neill,Roy William Neill,Bertram Millhauser,Hans J. Salter,Fred R. Feitshans Jr.,Netflix,United States of America
6929,Dirt,Comedy|Crime,2001,Nancy Sivak,Bruce Sweeney,Milan Cieslar,Bruce Sweeney,Paolo Rustichelli,Ross Weber,Netflix,United States of America
6930,Girlhood,Documentary,2003,Djibril Gueye,Sciamma,Couvreur,Sciamma,Para One,Julien Lacheray,Cirko Film,France
6932,Shattered Glass,Crime|Drama,2003,Vogel,Chris Kraus,Tove Christensen,Chris Kraus,Jan Tilman Schade,Renate Merck,Netflix,Germany
6936,Elf,Children|Comedy|Fantasy,2003,Teresa Ganzel,Nick Lyon,Michael Hirsh,Martin Olsen,Judy Collins,Karin Hartusch,Scanbox Entertainment,United States of America
6942,Love Actually,Comedy|Drama|Romance,2003,Osman Hung,Scud,Liza Chasin,Richard Curtis,Craig Armstrong,William Chang,UIP-Dunafilm,People's Republic of China
6944,Father of the Bride,Comedy,1991,Oliver Blake,Vincente Minnelli,Pandro S. Berman,Albert Hackett,Adolph Deutsch,Ferris Webster,Netflix,United States of America
6947,Master and The Far Side of the World,Adventure|Drama|War,2003,Chris Larkin,Peter Weir,Samuel Goldwyn Jr.,John Collee,Richard Tognetti,Lee Smith,InterCom,United States of America
6952,Gothika,Horror|Thriller,2003,Dorian Harewood,Mathieu Kassovitz,Susan Downey,Sebastian Gutierrez,John Ottman,Yannick Kergoat,Vudu,United States of America
6953,21 Grams,Crime|Drama|Mystery|Romance|Thriller,2003,Roshanak Gerami,Rahim Toofan,Robert Salerno,Guillermo Arriaga,Gustavo Santaolalla,Rahim Toofan,Vudu,Iran
6955,Blindness,Drama|Thriller,2003,Kazimierz Kaczor,Charles Horan,James Spinney,Ryszard Bugajski,Marco,Milenia Fiedler,Kino,United States of America
6957,Bad Santa,Comedy|Crime,2003,Mike Starr,Mark Waters,Bob Weinstein,Shauna Cross,Lyle Workman,Robert Hoffman,Vudu,United States of America
6959,Timeline,Action|Adventure|Sci-Fi,2003,Jirayu Tangsrisuk,Nonzee Nimibutr,Lauren Shuler Donner,Jeff Maguire,Brian Tyler,Richard Marks,Sahamongkol Film International,Thailand
6960,Marquis,Drama,1989,Josseline,Hans Homma,Fortunato Misiano,Grace Winter,Angelo Francesco Lavagnino,Luc Plantier,Paramount Pictures,Austria
6963,Devil's Playground,Documentary,2002,George McKay,Erle C. Kenton,Edward Chodorov,Jerome Chodorov,Morris Stoloff,Viola Lawrence,Columbia Pictures,United States of America
6966,Darkman,Action|Crime|Fantasy|Sci-Fi|Thriller,1990,Rick Parker,Bradford May,Rob Tapert,Michael Colleary,Randy Miller,Daniel T. Cahn,Universal Studios Home Entertainment,United States of America
6967,Dead of Night,Horror|Mystery,1945,Kerwin Mathews,Lela Swift,Michael Balcon,Dan Curtis,Georges Auric,Charles Hasse,Eagle-Lion Films,United Kingdom
6970,Desk Set,Comedy|Romance,1957,Nicholas Joy,Walter Lang,Henry Ephron,Henry Ephron,Cyril J. Mockridge,Robert L. Simpson,Netflix,United States of America
6973,Final Analysis,Drama|Romance|Thriller,1992,Richard Gere,Phil Joanou,Charles Roven,Wesley Strick,George Fenton,Thom Noble,Netflix,United States of America
6975,Funny Games,Drama|Horror|Thriller,1997,Siobhan Fallon Hogan,Michael Haneke,Naomi Watts,Michael Haneke,Brian Tyler,Monika Willi,Netflix,United Kingdom
6977,New Jack City,Action|Crime|Drama,1991,Tracy Camilla Johns,Mario Van Peebles,George Jackson,Barry Michael Cooper,Michel Colombier,Steven Kemper,Netflix,United States of America
6978,Slacker,Comedy|Drama,1991,Walter Miller,Christy Cabanne,Richard Linklater,Christy Cabanne,Georges Delerue,Mildred Richter,Orion Classics,United States of America
6979,WarGames,Drama|Sci-Fi|Thriller,1983,Amanda Walsh,Stuart Gillard,Leonard Goldberg,Lawrence Lasker,John Van Tongeren,Tom Rolf,Netflix,United States of America
6980,Mr. Hobbs Takes a Vacation,Comedy,1962,Lili Gentle,Henry Koster,Jerry Wald,Nunnally Johnson,Henry Mancini,Marjorie Fowler,Netflix,United States of America
6983,Jane Eyre,Drama|Romance,1944,Sorcha Cusack,Travers Vale,Hugo Ballin,Hugh Whitemore,Claudio Capponi,Richard Marden,BBC,United States of America
6989,Gorky Park,Crime|Drama|Thriller,1983,Lauri,Michael Apted,Hawk Koch,Dennis Potter,James Horner,Dennis Virkler,Netflix,United States of America
6992,Guarding Tess,Comedy|Drama,1994,John Roselius,Hugh Wilson,Ned Tanen,Hugh Wilson,Michael Convertino,Sidney Levin,Netflix,United States of America
6993,Hannah and Her Sisters,Comedy|Drama|Romance,1986,Tony Roberts,Woody Allen,Robert Greenhut,Woody Allen,Johann Sebastian Bach,Susan E. Morse,Netflix,United States of America
6997,Hoffa,Crime|Drama,1992,Peter Spellos,Danny DeVito,David Mamet,David Mamet,David Newman,Lynzee Klingman,Netflix,United States of America
6998,House of Cards,Drama,1993,Camino,Mihura,Dale Pollock,Mihura,Juan Quintero,Walter Murch,Netflix,Spain
7000,Hudson Hawk,Action|Adventure|Comedy,1991,William Conrad,Michael Lehmann,Joel Silver,Daniel Waters,Michael Kamen,Chris Lebenzon,InterCom,United States of America
7001,Invasion of the Body Snatchers,Horror|Mystery|Sci-Fi|Thriller,1978,David Fisher,Philip Kaufman,Walter Wanger,Jack Finney,Denny Zeitlin,Douglas Stewart,United Artists Corporation,United States of America
7009,Lorenzo's Oil,Drama,1992,Laura Linney,George Miller,Doug Mitchell,Nick Enright,Samuel Barber,Marcus D'Arcy,Netflix,United States of America
7014,Nowhere to Run,Action|Romance,1993,Jan Merlin,Carl Franklin,Julie Corman,Leslie Bohem,Barry Goldberg,Mark Helfrich,InterCom,People's Republic of China
7015,Only the Lonely,Comedy|Romance,1991,Milo O'Shea,Chris Columbus,John Hughes,Chris Columbus,Maurice Jarre,Raja Gosnell,Netflix,United States of America
7017,Passenger 57,Action|Thriller,1992,Ernie Lively,Kevin Hooks,Lee Rich,Dan Gordon,Stanley Clarke,Richard Nord,Netflix,United States of America
7019,Project X,Comedy|Drama,1987,Henry Jones,Edward Montagne,William Castle,Michael Bacall,Nathan Van Cleave,Jeff Groth,Paramount Pictures,United States of America
7026,Summer School,Comedy,1987,Vince Barnett,Barbara Peeters,Julie Corman,Barbara Peeters,Danny Elfman,Bud Molin,New World Pictures,United States of America
7027,Silverado,Action|Western,1985,Bill Thurman,Phil Karlson,Lawrence Kasdan,Lawrence Kasdan,Bruce Broughton,Carol Littleton,Netflix,United States of America
7028,Quick Change,Comedy|Crime,1990,Geena Davis,Bill Murray,Bill Murray,Howard Franklin,Randy Edelman,Alan Heim,Netflix,United States of America
7029,Rabid,Horror|Thriller,1977,Gabrielle Lazure,Sylvia Soska,John Dunning,Yannick Dahan,Ivan Reitman,Otello Colangeli,Wild Bunch,Canada
7030,Radio Flyer,Drama,1992,Scott Nimerfro,David M. Evans,Lauren Shuler Donner,David M. Evans,Hans Zimmer,Stuart Baird,Netflix,United States of America
7035,Streets of Fire,Action|Romance,1984,Nour El-Sherif,Samir Seif,Lawrence Gordon,Walter Hill,Ry Cooder,James Coblentz,Netflix,Egypt
7036,Teen Wolf,Comedy|Fantasy,1985,Holland Roden,Russell Mulcahy,Tyler Hoechlin,Jeff Davis,Miles Goodman,Lois Freeman-Fox,Atlantic Entertainment Group,United States of America
7039,Thunderheart,Crime|Mystery|Thriller,1992,Ted Thin Elk,Michael Apted,Michael Nozik,John Fusco,James Horner,Ian Crafford,Netflix,United States of America
7040,To Live and Die in L.A.,Action|Crime|Drama|Thriller,1985,Gerald Petievich,William Friedkin,Irv Levin,Gerald Petievich,Wang Chung,Bud S. Smith,Netflix,United States of America
7041,Trapped in Paradise,Comedy|Crime,1994,Marcia Bennett,George Gallo,George Gallo,George Gallo,Robert Folk,Terry Rawlings,Netflix,United States of America
7047,Year of the Dragon,Action|Crime|Drama,1985,Ariane Koizumi,Michael Cimino,Dino De Laurentiis,Oliver Stone,David Mansfield,Boisson,Netflix,United States of America
7048,Nothing to Lose,Action|Adventure|Comedy|Crime,1997,Gontijo,Alexandre Avancini,Dan Jinks,Danny Pang Phat,Robert Folk,Malcolm Campbell,Paris Filmes,Brazil
7049,Flying Down to Rio,Comedy|Musical|Romance,1933,Harry Bowen,Thornton Freeland,Merian C. Cooper,Cyril Hume,Max Steiner,Jack Kitchin,Netflix,United States of America
7117,Leprechaun,Comedy|Horror,1993,Emily Reid,David Lister,Mark Amin,Charles Band,Richard Kosinski,Daniel Duncan,New Concorde,United States of America
7121,Adam's Rib,Comedy|Romance,1949,Inna Churikova,Viacheslav Kryshtofovych,Cecil B. DeMille,Vladimir Kunin,Vadim Khrapachov,Anne Bauchens,Paramount Pictures,Soviet Union
7122,King of Hearts,Comedy|Drama|War,1966,Hans Nielsen,Helmut Weiss,Artur Brauner,Helmut Weiss,Gerhard Winkler,Walter Wischniewsky,Netflix,Germany
7123,Naked Lunch,Drama|Fantasy|Mystery|Sci-Fi,1991,Roy Scheider,David Cronenberg,Gabriella Martinelli,David Cronenberg,Howard Shore,Ronald Sanders,20th Century Studios,United Kingdom
7124,Grass,Documentary,1999,Sadaf Espahbodi,Brad Bischoff,Natalia Bakhareva,Brad Bischoff,Behzad Abdi,Dereck Joubert,Netflix,United States of America
7128,Things to Come,Sci-Fi,1936,William Hutt,V. Checa,Harry Alan Towers,Martin Lager,Paul Hoffert,Charles Crichton,Netflix,Peru
7139,In America,Drama|Romance,2002,Adrian Martinez,Erik Rodgers,Jim Sheridan,Naomi Sheridan,Gavin Friday,Naomi Geraghty,Searchlight Pictures,United States of America
7142,Honey,Drama|Romance,2003,Michelle McLeod,Rama Rau,Bhushan Kumar,Kathleen Hepburn,Casey Manierka-Quaile,Albertine Lastera,Vertigo,Canada
7147,Big Fish,Drama|Fantasy|Romance,2003,Angela Pleasence,Ben Lewin,Dan Jinks,Ben Lewin,Vladimir Cosma,John Grover,Trimark Pictures,United Kingdom
7149,Something's Gotta Give,Comedy|Drama|Romance,2003,Peter Spears,Nancy Meyers,Nancy Meyers,Nancy Meyers,Hans Zimmer,Joe Hutshing,InterCom,United States of America
7150,Stuck on You,Comedy,2003,Carl Sturmer,Michael Herz,Michael Herz,Michael Herz,Michael Andrews,Richard W. Haines,Troma Entertainment,United States of America
7151,Girl with a Pearl Earring,Drama|Romance,2003,Colin Firth,Peter Webber,Andy Paterson,Olivia Hetreed,Alexandre Desplat,Kate Evans,Xfinity Streampix,United Kingdom
7154,Mona Lisa Smile,Drama|Romance,2003,Whitney Avalon,Mike Newell,Elaine Goldsmith-Thomas,Mark Rosenthal,Rachel Portman,Mick Audsley,Netflix,United States of America
7155,Calendar Girls,Comedy,2003,Kyra Dutt,Madhur Bhandarkar,Nick Barton,Madhur Bhandarkar,Amaal Mallik,Michael Parker,UTV Motion Pictures,India
7158,House of Sand and Fog,Drama,2003,Namrata Singh Gujral,Vadim Perelman,Michael London,Shawn Lawrence Otto,James Horner,Lisa Zeno Churgin,Netflix,United States of America
7160,Monster,Crime|Drama,2003,Edmund Donovan,Hirokazu Koreeda,Genki Kawamura,Sakamoto,Uno Helmerson,Britta Norell,Paramount Home Entertainment,Japan
7162,Cold Mountain,Drama|Romance|War,2003,Lucas Black,Anthony Minghella,Tim Bricknell,Charles Frazier,Gabriel Yared,Walter Murch,Xfinity Streampix,Italy
7163,Paycheck,Action|Sci-Fi|Thriller,2003,Peter Friedman,John Woo,John Davis,Dean Georgaris,John Powell,Christopher Rouse,Vudu,United States of America
7174,Teacher's Pet,Animation|Children,2004,Vivian Nathan,George Seaton,William Perlberg,Michael Kanin,Roy Webb,Alma Macrorie,Netflix,United States of America
7175,Torque,Action|Crime,2004,Jay Hernandez,Joseph Kahn,Neal H. Moritz,Matt Johnson,Trevor Rabin,David Blackburn,Warner Bros.,Australia
7177,Osama,Drama,2003,Morgan Spurlock,Faisal Saif,Julie le Brocquy,Faisal Saif,Shibani Kashyap,Yurij Luhovy,Fandango,India
7179,Wuthering Heights,Drama|Romance,1992,Kieron Moore,George More O'Ferrall,James H. Nicholson,Nigel Kneale,Michel Legrand,Tony Lawson,Netflix,United Kingdom
7180,Odds Against Tomorrow,Crime|Drama|Thriller,1959,Kim Hamilton,Robert Wise,Robert Wise,Nelson Gidding,John Lewis,Dede Allen,Netflix,United States of America
7181,Ship of Fools,Drama,1965,Henry Calvin,Stanley Kramer,Stanley Kramer,Abby Mann,Ernest Gold,Robert C. Jones,Netflix,United States of America
7185,Real Men,Comedy|Sci-Fi,1987,Anna Kamenkova-Pavlova,Andrey Razenkov,Sergey Melkumov,Valentin Chernykh,Adrian Korchinsky,Malcolm Campbell,Netflix,Russia
7188,Buster,Comedy|Crime,1988,Ella Nilsson,Alex de Renzy,W. Ray Johnston,Jesper Nicolaj Christiansen,Carter Burwell,B. Ebbe,Netflix,United States of America
7190,Jane Eyre,Drama,1970,Sorcha Cusack,Travers Vale,Hugo Ballin,Hugh Whitemore,Claudio Capponi,Richard Marden,BBC,United States of America
7194,Bonjour tristesse,Drama,1958,Roland Culver,Otto Preminger,Otto Preminger,Arthur Laurents,Georges Auric,Helga Keller,Netflix,United Kingdom
7198,The Pick-up Artist,Comedy|Crime|Drama|Romance,1987,Anne Bobby,James Toback,Warren Beatty,James Toback,Georges Delerue,David Bretherton,Netflix,United States of America
7207,Where the Boys Are,Comedy,1960,Amy Douglass,Henry Levin,Joe Pasternak,George Wells,Georgie Stoll,Fredric Steinkamp,Netflix,United States of America
7210,My Darling Clementine,Western,1946,Jasso,Rafael,Armand Schaefer,Samuel G. Engel,Marlin Skiles,Arthur Roberts,Netflix,Mexico
7211,People Will Talk,Comedy|Romance,1951,Charles Ruggles,Alfred Santell,Darryl F. Zanuck,Sophie Kerr,Alfred Newman,Barbara McLean,Netflix,United States of America
7212,I Was a Male War Bride,Comedy|Romance,1949,Michael Balfour,Howard Hawks,Sol C. Siegel,Hagar Wilde,Cyril J. Mockridge,James B. Clark,Netflix,United States of America
7213,Divorce American Style,Comedy,1967,Tom D'Andrea,Bud Yorkin,Norman Lear,Norman Lear,Dave Grusin,Ferris Webster,Columbia Pictures,United States of America
7215,To Have and Have Not,Adventure|Drama|Romance|Thriller|War,1944,Louis Mercier,Howard Hawks,Jack Warner,Ernest Hemingway,William Lava,Christian Nyby,Netflix,United States of America
7217,Dark Passage,Crime|Drama|Film-Noir|Romance|Thriller,1947,Rory Mallinson,Delmer Daves,Jerry Wald,David Goodis,Franz Waxman,David Weisbart,Netflix,United States of America
7219,They Drive by Night,Drama,1940,George Street,Arthur B. Woods,Jerome Jackson,Geoffrey Basil Maiden,Ernest Irving,Leslie Norman,Warner Bros.,United Kingdom
7223,D.O.A.,Drama|Film-Noir|Mystery,1950,Pandji Pragiwaksono,Anggy Umbara,Manoj Punjabi,Lech Kowalski,Sex Pistols,Arthur H. Nadel,Netflix,Indonesia
7231,Where Angels Trouble Follows,Comedy,1968,Arthur Godfrey,James Neilson,William P. Frye,Blanche Hanalis,Boyce and Hart,Adrienne Fazan,Columbia Pictures,United States of America
7232,Heat and Dust,Drama,1983,Susan Fleetwood,James Ivory,Ismail Merchant,Ruth Prawer Jhabvala,Richard Robbins,Humphrey Dixon,Netflix,United Kingdom
7240,King David,Action|Drama|War,1985,Peter Frye,Bruce Beresford,Martin Elfand,Andrew Birkin,Carl Davis,William M. Anderson,Netflix,United Kingdom
7247,Chitty Chitty Bang Bang,Adventure|Children|Comedy|Fantasy|Musical,1968,Peter Arne,Ken Hughes,Albert R. Broccoli,Ken Hughes,Richard M. Sherman,John Shirley,Vudu,Germany
7249,Plaza Suite,Comedy,1971,Louise Sorel,Arthur Hiller,Paramount Pictures,Neil Simon,Maurice Jarre,Frank Bracht,Paramount Pictures,United States of America
7254,The Butterfly Effect,Drama|Sci-Fi|Thriller,2004,Sarah Habel,Seth Grossman,Jason Goldberg,Michael D. Weiss,Michael Suby,Ed Marx,After Dark Films,United States of America
7256,Touching the Void,Adventure|Documentary,2003,Nicholas Aaron,Kevin Macdonald,John Smithson,Joe Simpson,Alex Heffes,Justine Wright,Hulu,United Kingdom
7263,Miracle,Drama,2004,Vincenzo Antonucci,Takashi,Niyi Towolawi,Bogdan George Apetri,Naoki,Bogdan George Apetri,Microsoft Store,France
7267,Who's the,Comedy,1993,Joe Cheung,Peter Chan,Peter Chan,Seth Greenland,Michael Wolff,John Gilroy,Netflix,Hong Kong
7284,Trespass,Action|Crime|Thriller,1992,Mervat Amin,Edwin L. Hollywood,Andrea Calderwood,Howard Irving Young,Mort Glickman,Arthur Roberts,W.W. Hodkinson Distribution,Egypt
7285,Thirteen,Drama,2003,May Heatherly,Johannes Guter,Erich Pommer,Javier Aguirre,Alfonso Santiesteban,Petra de Nieva,Eclair,United States of America
7288,Foolish Wives,Drama,1922,Miss DuPont,Gustav,Irving Thalberg,Erich von Stroheim,Sigmund Romberg,Arthur Ripley,Netflix,United States of America
7292,Best Defense,Comedy|War,1984,Peter Michael Goetz,Willard Huyck,Gloria Katz,Willard Huyck,Patrick Williams,Sidney Wolinsky,Netflix,United States of America
7293,50 First Dates,Comedy|Romance,2004,Drew Barrymore,Peter Segal,Steve Golin,George Wing,Teddy Castellucci,Jeff Gourson,Sony Pictures Releasing,United States of America
7296,Face,Comedy,2002,David Savard,Yves Pelletier,Nicole Robert,Yves Pelletier,Jean Massicotte,Dominique Fortin,Les Films,Canada
7303,The Diary of Anne Frank,Drama|War,1959,Dodie Heath,George Stevens,George Stevens,Frances Goodrich,Alfred Newman,David Bretherton,Netflix,United States of America
7308,King Solomon's Mines,Adventure|Comedy,1985,Bruno Scipioni,Piero Regnoli,Ermanno Donati,Piero Regnoli,Francesco De Masi,Ralph E. Winters,Netflix,Italy
7310,Raw Deal,Action,1986,Gus Mercurio,Russell Hagg,Russell Hagg,Patrick Edgeworth,Paul Sawtell,Alfred DeGaetano,Event Cinemas,Australia
7311,Mr. Chips,Drama|Romance,1939,Michael Bryant,Stuart Orme,Arthur P. Jacobs,Terence Rattigan,Leslie Bricusse,Ralph Kemplen,Netflix,United States of America
7313,Fire Birds,Action|Adventure,1990,Marshall R. Teague,Amir Wolf,Michael Sharfstein,Amir Wolf,David Newman,Isaac Sehayek,Vudu,Israel
7317,EuroTrip,Adventure|Comedy,2004,Joel Kirby,Jeff Schaffer,Joe Medjuck,Jeff Schaffer,James L. Venable,Roger Bondelli,Netflix,United States of America
7321,Twisted,Thriller,2004,Vincent Martinez,Neil Breen,Luis Deveze,Paul Hunt,Michael Bacon,Justin Burquist,Netflix,United States of America
7322,Alila,Drama,2003,Vinod Kumar,S. L. Puram Sadanandan,Alain Mamou-Mani,Yehoshua Kenaz,Mohan Sithara,Monica Coleman,Netflix,India
7324,Hidalgo,Adventure|Drama,2004,Juan Ignacio Aranda,Antonio Serrano,Casey Silver,Antonio Serrano,Alejandro,Mario Sandoval,Walt Disney Studios Motion Pictures,Mexico
7325,Starsky Hutch,Action|Comedy|Crime|Thriller,2004,George Cheung,Todd Phillips,Gilbert Adler,John O'Brien,Theodore Shapiro,Leslie Jones,Vudu,United States of America
7327,Persona,Drama,1966,Anne Sofie Wanstrup,Ted Lichtenfeld,Daniel,Stephen Frears,Habib Shehadeh Hanna,Ursula,Netflix,Bosnia and Herzegovina
7329,Walk on the Wild Side,Drama,1962,Richard Rust,Edward Dmytryk,Charles K. Feldman,John Fante,Elmer Bernstein,Harry W. Gerstad,Netflix,United States of America
7330,Tokyo Joe,Drama|Thriller,1949,Harold Goodwin,Stuart Heisler,Robert Lord,Cyril Hume,George Antheil,Viola Lawrence,Columbia Pictures,United States of America
7335,Pickup on South Street,Film-Noir,1953,Clancy Cooper,Samuel Fuller,Jules Schermer,Samuel Fuller,Leigh Harline,Nick DeMaggio,Netflix,United States of America
7338,Richard III,Drama|War,1955,Richard Hawley,Manfred Wekwerth,David Carradine,Ruiz,Fischer,Helga Keller,London Films,German Democratic Republic
7339,Quartet,Drama|Romance,1981,Konvalinka,Frank Scheffer,Peter Carsten,Guido Lukoschek,Norbert Schultze,Jan,Mandarin Films Distribution Co. Ltd.,Panama
7340,Just One of the Guys,Comedy,1985,John Apicella,Lisa Gottlieb,Jeff Franklin,Dennis Feldman,Tom Scott,Tony Lombardo,Netflix,United States of America
7341,The Chase,Crime|Drama|Thriller,1966,Kim Hye-in,Kim Hong-seon,Raymond Chow,Erik,Edward Ward,Christopher Cooke,Next Entertainment World,South Korea
7347,Secret Window,Mystery|Thriller,2004,John Dunn-Hill,David Koepp,Gavin Polone,David Koepp,Philip Glass,Jill Savitt,InterCom,United States of America
7348,Spartan,Thriller,2004,Kick Gurry,David Mamet,David Bergstein,David Mamet,Mark Isham,Barbara Tulliver,Netflix,Germany
7354,Mad Dog and Glory,Comedy|Drama|Romance,1993,Jack Wallace,John McNaughton,Barbara De Fina,Richard Price,Elmer Bernstein,Elena Maganini,Netflix,United States of America
7357,Peyton Place,Drama|Romance,1957,Wilton Graff,Ferrer,20th Century Studios,John Michael Hayes,Franz Waxman,David Bretherton,20th Century Studios,United States of America
7360,Dawn of the Dead,Action|Drama|Horror|Thriller,2004,Boyd Banks,Zack Snyder,Richard P. Rubinstein,James Gunn,Tyler Bates,Niven Howie,UIP-Dunafilm,United States of America
7362,Taking Lives,Crime|Drama|Thriller,2004,Kiefer Sutherland,D.J. Caruso,Mark Canton,Jon Bokenkamp,Philip Glass,Anne V. Coates,Netflix,Australia
7364,Intermission,Comedy|Crime|Drama,2003,Ludwig Rex,Carl Froelich,Henny Porten,Walter Supper,John Murphy,Lucia Zucchetti,Hulu,Germany
7370,A Foreign Affair,Comedy|Drama|Romance,2003,Tim Blake Nelson,Billy Wilder,Charles Brackett,Richard L. Breen,Friedrich Hollaender,Doane Harrison,Paramount Pictures,United States of America
7371,Dogville,Drama|Mystery|Thriller,2003,John Randolph Jones,Sami Saif,Vibeke,Sami Saif,Giovanni Battista Pergolesi,Molly Malene Stensgaard,Vudu,Denmark
7372,Ned Kelly,Drama,2003,Alan Hopgood,William Sterling,Nelson Woss,Douglas Stewart,Klaus Badelt,Jon Gregory,Netflix,Australia
7376,Walking Tall,Action,2004,Luke Askew,Earl Bellamy,Ashok Amritraj,John Michael Hayes,Walter Scharf,Harry W. Gerstad,American International Pictures,United States of America
7379,The Alamo,Drama|War|Western,2004,Ruben Padilla,Stuart Paton,John Wayne,James Edward Grant,Dimitri Tiomkin,Stuart Gilmore,Netflix,United States of America
7387,Dawn of the Dead,Action|Drama|Horror,1978,Boyd Banks,Zack Snyder,Richard P. Rubinstein,James Gunn,Tyler Bates,Niven Howie,UIP-Dunafilm,United States of America
7389,One Million Years B.C.,Adventure|Fantasy,1966,Jean Wladon,Don Chaffey,Michael Carreras,William Bast,Mario Nascimbene,Tom Simpson,Associated British Picture Corporation,United Kingdom
7399,Ned Kelly,Action|Crime|Western,1970,Alan Hopgood,William Sterling,Nelson Woss,Douglas Stewart,Klaus Badelt,Jon Gregory,Netflix,Australia
7404,Anna,Drama,1987,Ramarajan,Tanio Boccia,Vincent Leduc,Jacky St. James,S. A. Rajkumar,Gauthier,Filmoption International,France
7405,Road to Bali,Comedy|Musical,1952,Jerry Lewis,Hal Walker,Harry Tugend,William Morrow,Joseph J. Lilley,Archie Marshek,Netflix,United States of America
